step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,1.2454806566238403,0.8666666746139526,,,,,,,,2025-07-20T06:04:33.9340000Z
2,1.5777679681777954,0.8666666746139526,,,,,,,,2025-07-20T06:04:41.3650000Z
3,0.34318968653678894,0.9333333373069763,,,,,,,,2025-07-20T06:04:44.3070000Z
4,1.0242092609405518,0.800000011920929,,,,,,,,2025-07-20T06:04:45.1440000Z
5,0.15466339886188507,0.9666666388511658,,,,,,,,2025-07-20T06:04:45.6840000Z
6,0.4625237286090851,0.9666666388511658,,,,,,,,2025-07-20T06:04:46.8010000Z
7,0.9371646642684937,0.8666666746139526,,,,,,,,2025-07-20T06:04:50.0390000Z
8,1.0877654552459717,0.8999999761581421,,,,,,,,2025-07-20T06:04:52.9680000Z
9,0.16789557039737701,0.9666666388511658,,,,,,,,2025-07-20T06:04:53.8020000Z
10,0.1291191130876541,0.8999999761581421,,,,,,,,2025-07-20T06:04:54.6310000Z
11,0.48052462935447693,0.9333333373069763,,,,,,,,2025-07-20T06:04:55.4610000Z
12,0.48819440603256226,0.9333333373069763,,,,,,,,2025-07-20T06:04:56.0090000Z
13,0.833258867263794,0.800000011920929,,,,,,,,2025-07-20T06:04:57.1140000Z
14,0.6823437213897705,0.8999999761581421,,,,,,,,2025-07-20T06:04:57.6560000Z
15,0.41786429286003113,0.8999999761581421,,,,,,,,2025-07-20T06:04:59.0650000Z
16,0.056817565113306046,0.9666666388511658,,,,,,,,2025-07-20T06:04:59.9040000Z
17,0.1539786010980606,0.8999999761581421,,,,,,,,2025-07-20T06:05:03.1340000Z
18,0.3439093828201294,0.9333333373069763,,,,,,,,2025-07-20T06:05:03.9660000Z
19,0.6028551459312439,0.8999999761581421,,,,,,,,2025-07-20T06:05:04.8030000Z
20,0.16262200474739075,0.9666666388511658,,,,,,,,2025-07-20T06:05:05.3890000Z
21,0.06978677213191986,0.9666666388511658,,,,,,,,2025-07-20T06:05:08.8650000Z
22,0.37990596890449524,0.8666666746139526,,,,,,,,2025-07-20T06:05:09.7200000Z
23,0.17309436202049255,0.8999999761581421,,,,,,,,2025-07-20T06:05:10.5500000Z
24,0.0919722244143486,0.9666666388511658,,,,,,,,2025-07-20T06:05:11.4060000Z
25,0.25872763991355896,0.9666666388511658,,,,,,,,2025-07-20T06:05:11.9310000Z
26,0.12590853869915009,0.9333333373069763,,,,,,,,2025-07-20T06:05:13.0380000Z
27,0.16312192380428314,0.9333333373069763,,,,,,,,2025-07-20T06:05:13.6650000Z
28,0.20442098379135132,0.8666666746139526,,,,,,,,2025-07-20T06:05:14.8970000Z
29,0.3636908233165741,0.8333333134651184,,,,,,,,2025-07-20T06:05:17.8320000Z
30,0.14372730255126953,0.8999999761581421,,,,,,,,2025-07-20T06:05:18.3850000Z
31,0.3153076171875,0.8999999761581421,,,,,,,,2025-07-20T06:05:19.4950000Z
32,0.10834973305463791,0.9333333373069763,,,,,,,,2025-07-20T06:05:20.3310000Z
33,0.13022060692310333,0.9333333373069763,,,,,,,,2025-07-20T06:05:21.1780000Z
34,0.10590407252311707,0.9666666388511658,,,,,,,,2025-07-20T06:05:22.3080000Z
35,0.15698012709617615,0.8999999761581421,,,,,,,,2025-07-20T06:05:23.1470000Z
36,0.15677432715892792,0.9333333373069763,,,,,,,,2025-07-20T06:05:23.7660000Z
37,0.32977211475372314,0.8999999761581421,,,,,,,,2025-07-20T06:05:24.8620000Z
38,0.05465799942612648,1,,,,,,,,2025-07-20T06:05:25.7690000Z
39,0.15028463304042816,0.9333333373069763,,,,,,,,2025-07-20T06:05:26.3060000Z
40,0.1479630172252655,0.9333333373069763,,,,,,,,2025-07-20T06:05:27.7120000Z
41,0.08464978635311127,0.9666666388511658,,,,,,,,2025-07-20T06:05:28.5460000Z
42,0.14408524334430695,0.9333333373069763,,,,,,,,2025-07-20T06:05:29.3850000Z
43,0.16908816993236542,0.8666666746139526,,,,,,,,2025-07-20T06:05:30.8420000Z
44,0.1952662169933319,0.8666666746139526,,,,,,,,2025-07-20T06:05:31.7100000Z
45,0.22578983008861542,0.9333333373069763,,,,,,,,2025-07-20T06:05:32.5560000Z
46,0.17006778717041016,0.8999999761581421,,,,,,,,2025-07-20T06:05:33.7580000Z
47,0.1143544539809227,0.9666666388511658,,,,,,,,2025-07-20T06:05:34.6020000Z
48,0.13853225111961365,0.9666666388511658,,,,,,,,2025-07-20T06:05:35.4630000Z
49,0.14429499208927155,0.9666666388511658,,,,,,,,2025-07-20T06:05:36.2990000Z
50,0.16541188955307007,0.9333333373069763,,,,,,,,2025-07-20T06:05:37.1340000Z
51,0.041948698461055756,1,,,,,,,,2025-07-20T06:05:38.2590000Z
52,0.25615283846855164,0.9333333373069763,,,,,,,,2025-07-20T06:05:39.3960000Z
53,0.1106768324971199,0.9333333373069763,,,,,,,,2025-07-20T06:05:39.9750000Z
54,0.10628808289766312,0.9666666388511658,,,,,,,,2025-07-20T06:05:40.9730000Z
55,0.05067481845617294,1,,,,,,,,2025-07-20T06:05:41.7920000Z
56,0.2628478407859802,0.9666666388511658,,,,,,,,2025-07-20T06:05:42.6380000Z
57,0.35001933574676514,0.8333333134651184,,,,,,,,2025-07-20T06:05:43.2600000Z
58,0.2207225114107132,0.8999999761581421,,,,,,,,2025-07-20T06:05:44.2030000Z
59,0.13325245678424835,0.9333333373069763,,,,,,,,2025-07-20T06:05:45.0900000Z
60,0.21499106287956238,0.8999999761581421,,,,,,,,2025-07-20T06:05:45.9090000Z
61,0.21498318016529083,0.8666666746139526,,,,,,,,2025-07-20T06:05:47.0340000Z
62,0.04395872727036476,1,,,,,,,,2025-07-20T06:05:47.8660000Z
63,0.11813513189554214,0.9666666388511658,,,,,,,,2025-07-20T06:05:48.4290000Z
64,0.3156936764717102,0.8666666746139526,,,,,,,,2025-07-20T06:05:49.5300000Z
