run_id,window_size,scaler,loss_fn,epochs,batch_size,mae,mape,smape,mse,rmse,r2,nmae,nmse,nrmse,medae,max_error,explained_var
ws5_scalerMinMaxScaler_lossmse_bs32_ep200,5,MinMaxScaler,mse,200,32,5.405359148332829,0.0351952636173736,3.612353710968744,44.26746360295325,6.653379863118688,0.7436413285913621,0.1080887272650864,0.8851981281526007,0.1330448804012334,5.024365044105252,13.93143306607726,0.9090421788861394
ws5_scalerStandardScaler_lossmse_bs32_ep200,5,StandardScaler,mse,200,32,5.713792495194009,0.036389429248938,3.7525660818220894,59.48282359349794,7.712510848841507,0.6555271888889926,0.1142563411078444,1.189453377642422,0.1542238838887454,3.112406175001354,18.05300751241319,0.8110990482974381
ws5_scalerRobustScaler_lossmse_bs32_ep200,5,RobustScaler,mse,200,32,4.1352182228619165,0.0266519763292509,2.7170867415956685,30.31986977855651,5.506348134522236,0.8244136686160825,0.082690245441026,0.6062938734086019,0.1101081621787445,3.4563747384536327,15.946778756846925,0.8763429251589054
ws10_scalerRobustScaler_lossmse_bs32_ep200,10,RobustScaler,mse,200,32,5.574624933236923,0.0356047372010272,3.6633181603316953,54.9691522216402,7.414118438603486,0.6694037756888983,0.1294046208911345,1.2760073348680117,0.1721050648751652,4.064490348640049,16.63414878576168,0.811972414043749
ws20_scalerRobustScaler_lossmse_bs32_ep200,20,RobustScaler,mse,200,32,3.709538080710282,0.0236846879512216,2.412773685690631,25.15267215362972,5.015243977478037,0.8463565949471135,0.0889169862073385,0.6029052012141006,0.1202145307230451,2.9255217302279,12.628626841533332,0.8997737123883341
ws30_scalerRobustScaler_lossmse_bs32_ep200,30,RobustScaler,mse,200,32,4.1455203792660695,0.0262064512903784,2.675441871030033,32.23414399889206,5.677512131109194,0.8022785953134044,0.0993674064979171,0.7726468565611951,0.1360889838222584,2.629619179068186,14.60391687779338,0.8622057801629861
ws20_scalerRobustScaler_lossmae_bs32_ep200,20,RobustScaler,mae,200,32,4.949298119623754,0.0314173612021268,3.2206421100330984,43.84388394942631,6.621471433860174,0.7321825856279309,0.1186338199160172,1.050930315200008,0.1587155250456677,2.920149294564851,15.315729224257666,0.8365589564289415
ws20_scalerRobustScaler_lossmape_bs32_ep200,20,RobustScaler,mape,200,32,14.347047631746443,0.0910236137775935,9.779824354846294,329.5376220378094,18.15317112897384,-1.0129583860382685,0.3438962503233728,7.898959804700142,0.4351283722595884,9.921987400620182,36.320778469616926,0.20629819507123
ws20_scalerRobustScaler_losshuber_bs32_ep200,20,RobustScaler,huber,200,32,4.375089831705007,0.0279244985301767,2.852781595978377,33.68559701861681,5.803929446385165,0.7942337976828925,0.1048701465674383,0.8074379344063252,0.139119185004776,2.901914717348376,13.555062584322512,0.8692728563067535
ws20_scalerRobustScaler_lossmse_bs16_ep200,20,RobustScaler,mse,200,16,4.545560790366621,0.0287882775794092,2.947658272871197,36.799255777858654,6.066239014237624,0.7752142227041113,0.1089563059625628,0.8820717963390364,0.1454066999781562,3.0614253244918928,14.530927130773309,0.8749502388097201
ws20_scalerRobustScaler_lossmse_bs8_ep200,20,RobustScaler,mse,200,8,7.035710286087817,0.0448185830624611,4.6443996408012005,82.25787511977911,9.069612732624206,0.4975333058601424,0.1686447586884226,1.9717070396187724,0.2173970485560388,4.850931345021763,19.25000335096729,0.7874256408795415
ws20_scalerRobustScaler_lossmse_bs64_ep200,20,RobustScaler,mse,200,64,4.429783002189409,0.0282189634339725,2.8802987866038685,34.298745372771826,5.85651307287637,0.7904884222269748,0.1061811324044312,0.8221349944076649,0.1403796054371106,3.321236146239471,14.245985590644525,0.8586697416430896
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200,20,RobustScaler,mse,200,32,5.42812302533318,0.0338212746353715,3.4995860969278203,64.15023512142601,8.009384191148905,0.6081426061295507,0.1301111700901777,1.5376700406852757,0.1919835537898831,2.40802001953125,19.425323486328125,0.7449305078804175
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200_stacked_lstm,20,RobustScaler,mse,200,32,5.29385061825023,0.0334402455470208,3.4403592991326137,52.45976322840708,7.242911239854253,0.6795530669087365,0.126892683715633,1.257451451348188,0.1736113297135326,2.977752685546875,17.035964965820312,0.8086634212851472
ws20_scalerRobustScaler_lossmse_bs32_ep200_stacked_lstm,20,RobustScaler,mse,200,32,3.517138456366552,0.0228610899419365,2.311617293128901,21.81676552480064,4.670842057359748,0.8667337560797859,0.0843052004885104,0.522944096286511,0.1119592762642271,2.853623537606495,12.546827938079304,0.886027200689936
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200_lstm_attention,20,RobustScaler,mse,200,32,5.667798322789809,0.0376535723017682,3.8524113703426175,42.191625848300376,6.495508128568571,0.7422752930401957,0.1358561455169053,1.011325974284158,0.1556962064039516,4.9019317626953125,14.021194458007812,0.8962339327996474
ws20_scalerRobustScaler_lossmse_bs32_ep200_lstm_attention,20,RobustScaler,mse,200,32,3.606546706363869,0.0244896762300735,2.4612548190428147,21.199418773453548,4.604282655686285,0.8705047771623955,0.0864483007772427,0.5081464014306155,0.1103638589179696,2.88859782362448,14.921465539945755,0.8711431043769002
baseline_ws20_scalerRobustScaler_lossmse_bs32_ep200_gru,20,RobustScaler,mse,200,32,4.304067723891315,0.0276896309426734,2.827478404807174,29.582127424011773,5.43894543307908,0.8192995655343263,0.1031677589268518,0.7090784779437928,0.1303705813320453,3.2797927856445312,12.70062255859375,0.9218420417147378
