date,avg_sentiment,price
2024-07-30,0.0,103.6972427368164
2024-07-31,0.25,116.98303985595705
2024-08-01,0.0,109.1755142211914
2024-08-02,-0.375,107.23611450195312
2024-08-03,0.0,107.23611450195312
2024-08-04,0.0,107.23611450195312
2024-08-05,-1.0,100.41827392578124
2024-08-06,0.125,104.21707153320312
2024-08-07,0.125,98.87876892089844
2024-08-08,0.125,104.93685150146484
2024-08-09,0.625,104.7169189453125
2024-08-10,0.0,104.7169189453125
2024-08-11,0.0,104.7169189453125
2024-08-12,0.25,108.98556518554688
2024-08-13,0.0,116.1033172607422
2024-08-14,0.25,118.04271697998048
2024-08-15,0.0,122.82120513916016
2024-08-16,0.125,124.5406494140625
2024-08-17,0.0,124.5406494140625
2024-08-18,0.0,124.5406494140625
2024-08-19,0.375,129.95895385742188
2024-08-20,0.125,127.20980834960938
2024-08-21,0.375,128.4594268798828
2024-08-22,-0.125,123.700927734375
2024-08-23,0.625,129.32913208007812
2024-08-24,0.0,129.32913208007812
2024-08-25,0.0,129.32913208007812
2024-08-26,0.0,126.42005920410156
2024-08-27,0.0,128.25949096679688
2024-08-28,0.0,125.5703353881836
2024-08-29,0.0,117.55286407470705
2024-08-30,0.0,119.33230590820312
2024-08-31,0.0,119.33230590820312
2024-09-01,0.0,119.33230590820312
2024-09-02,0.0,119.33230590820312
2024-09-03,0.125,107.96588897705078
2024-09-04,0.0,106.17646026611328
2024-09-05,-0.25,107.17613983154295
2024-09-06,0.375,102.79752349853516
2024-09-07,0.0,102.79752349853516
2024-09-08,0.0,102.79752349853516
2024-09-09,0.0,106.4363784790039
2024-09-10,-0.125,108.06585693359376
2024-09-11,-0.125,116.87307739257812
2024-09-12,-0.125,119.11256408691406
2024-09-13,0.5,119.07256317138672
2024-09-14,0.0,119.07256317138672
2024-09-15,0.0,119.07256317138672
2024-09-16,0.0,116.75309753417967
2024-09-17,0.125,115.5633773803711
2024-09-18,0.0,113.34388732910156
2024-09-19,0.0,117.84284973144533
2024-09-20,0.375,115.97328186035156
2024-09-21,0.0,115.97328186035156
2024-09-22,0.0,115.97328186035156
2024-09-23,0.0,116.23323059082033
2024-09-24,-0.125,120.8421630859375
2024-09-25,0.125,123.48155975341795
2024-09-26,0.375,124.01143646240234
2024-09-27,0.5,121.3720474243164
2024-09-28,0.0,121.3720474243164
2024-09-29,0.0,121.3720474243164
2024-09-30,-0.125,121.41203308105467
2024-10-01,0.375,116.97305297851562
2024-10-02,0.125,118.82262420654295
2024-10-03,0.125,122.82170867919922
2024-10-04,0.25,124.89122772216795
2024-10-05,0.0,124.89122772216795
2024-10-06,0.0,124.89122772216795
2024-10-07,0.0,127.69058990478516
2024-10-08,0.125,132.85939025878906
2024-10-09,0.0,132.61944580078125
2024-10-10,0.0,134.77896118164062
2024-10-11,0.0,134.7689666748047
2024-10-12,0.0,134.7689666748047
2024-10-13,0.0,134.7689666748047
2024-10-14,0.0,138.03822326660156
2024-10-15,0.375,131.5697021484375
2024-10-16,0.0,135.68873596191406
2024-10-17,0.0,136.89846801757812
2024-10-18,0.375,137.9682159423828
2024-10-19,0.0,137.9682159423828
2024-10-20,0.0,137.9682159423828
2024-10-21,0.375,143.67691040039062
2024-10-22,0.375,143.55694580078125
2024-10-23,0.25,139.52786254882812
2024-10-24,0.125,140.37767028808594
2024-10-25,1.0,141.5074005126953
2024-10-26,0.0,141.5074005126953
2024-10-27,0.0,141.5074005126953
2024-10-28,0.0,140.48764038085938
2024-10-29,0.5,141.21746826171875
2024-10-30,0.0,139.3079071044922
2024-10-31,-0.25,132.72943115234375
2024-11-01,0.375,135.3688201904297
2024-11-02,0.2857142857142857,135.3688201904297
2024-11-03,0.0,135.3688201904297
2024-11-04,0.5,136.0186767578125
2024-11-05,0.25,139.87777709960938
2024-11-06,0.5,145.57644653320312
2024-11-07,0.25,148.84573364257812
2024-11-08,0.375,147.5959930419922
2024-11-09,0.0,147.5959930419922
2024-11-10,0.5,147.5959930419922
2024-11-11,0.5,145.22654724121094
2024-11-12,0.625,148.25582885742188
2024-11-13,-0.25,146.23629760742188
2024-11-14,0.125,146.72618103027344
2024-11-15,0.375,141.94729614257812
2024-11-16,0.0,141.94729614257812
2024-11-17,0.0,141.94729614257812
2024-11-18,0.0,140.11770629882812
2024-11-19,0.0,146.97613525390625
2024-11-20,-0.5,145.8563995361328
2024-11-21,-0.25,146.63623046875
2024-11-22,0.0,141.91729736328125
2024-11-23,0.25,141.91729736328125
2024-11-24,0.375,141.91729736328125
2024-11-25,0.375,135.98867797851562
2024-11-26,0.125,136.8884735107422
2024-11-27,0.5,135.30882263183594
2024-11-28,0.0,135.30882263183594
2024-11-29,0.125,138.21817016601562
2024-11-30,0.25,138.21817016601562
2024-12-01,0.25,138.21817016601562
2024-12-02,0.0,138.5980682373047
2024-12-03,0.25,140.2277069091797
2024-12-04,0.5,145.10658264160156
2024-12-05,0.375,145.03659057617188
2024-12-06,0.125,142.41700744628906
2024-12-07,0.25,142.41700744628906
2024-12-08,0.25,142.41700744628906
2024-12-09,-0.875,138.78758239746094
2024-12-10,0.375,135.04820251464844
2024-12-11,0.25,139.28750610351562
2024-12-12,0.0,137.3178253173828
2024-12-13,0.375,134.22833251953125
2024-12-14,0.25,134.22833251953125
2024-12-15,0.5,134.22833251953125
2024-12-16,0.25,131.9786834716797
2024-12-17,0.25,130.36895751953125
2024-12-18,0.0,128.88919067382812
2024-12-19,0.25,130.6588897705078
2024-12-20,0.25,134.67825317382812
2024-12-21,0.375,134.67825317382812
